HEADER ROW IS IGNORED,,,,,,,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,C1,C1,C1,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C3,C3,C3,W
W,C1,C1,C1,C1,C2,C2,C2,C2,C2 P1R2,C2,C2,C2,C2,C3,C3,C3,C3,W
W,C1,C1,C1,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C3,C3,C3,W
W,C1,C1,C1,W,W,W,W,W,W,W,W,W,W,W,C3,C3,C3,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4 F,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,C4,C4,C4,W
W,C7,C7,C7,W,W,W,W,W,W,W,W,W,W,W,C5,C5,C5,W
W,C7,C7,C7,C7,C6,C6,C6,C6,C6,C6,C6,C6,C6,C5,C5,C5,C5,W
W,C7,C7,C7,C7,C6,C6,C6,C6,C6 P2R2,C6,C6,C6,C6,C5,C5,C5,C5,W
W,C7,C7,C7,C7,C6,C6,C6,C6,C6,C6,C6,C6,C6,C5,C5,C5,C5,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
