9d6c3700-a460-48fd-92fd-a319fff0f9e9,,,,,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,C4,C4,C4,C3,C3,C3,C3,W,C2,C2,C2,C1,C1,C1,C1,W
W,C4,C4,C4 P2L4,C3,C3,C3,C3,W,C2,C2,C2,C1,C1,C1,C1,W
W,C4,C4,W,W,W,C3,C3,C2,C2,C2,W,C1,C1,C1,C1,W
W,C4,C4,C5,C5,W,C3,C3,C2,C2,C2,W,C1,C1,C1,C1,W
W,W,W,C5,C5,W,W,W,W,W,W,W,W,W,W,W,W
W,C6,C6,C5,C5,W,C7,C7,C8,C8,C8,W,C9,C9,C9,C9 F,W
W,C6,C6,W,W,W,C7,C7,C8,C8,C8,W,C9,C9,C9,C9,W
W,C6,C6,C6,C7,C7,C7,C7,W,C8,C8,C8,C9,C9,C9,C9,W
W,C6,C6,C6,C7,C7,C7,C7,W,C8,C8,C8,C9,C9,C9,C9 P1R4,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
