2b99ea2d-3115-4584-850b-9d2ef07cf9ce,,,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,C1,C1,C1,C2,C2,C2,C2,C3,C3,C3,C4,C4,C4,W
W,C1,C1,W,C2,C2,C2,W,C3,C3,C3,W,C4,C4,W
W,C1,W,W,W,C2,W,W,W,C3,W,W,W,C4,W
W,C6,C6,W,C7,C7,C7,W,C8,C8,C8,W,C5,C5,W
W,C6,C6,C6,C7,C7,C7,C9,C8,C8,C8 P2L3,C5,C5,C5,W
W,W,W,C10,C11,W,C9,C9 F,C9,W,C13,C12,W,W,W
W,C10,C10,C10,C11,C11,C15,W,C14,C13,C13,C12,C12,C12,W
W,C10,C10,C10,C11 P1R3,W,C15,C14,C14,W,C13,C12,C12,C12,W
W,W,W,W,C11,C11,C15,W,C14,C13,C13,W,W,W,W
W,W,W,W,C11,W,C15,C15,C14,W,C13,W,W,W,W
W,W,W,W,C11,C11,C15,W,C14,C13,C13,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
